,airline,source_city,departure_time,stops,arrival_time,destination_city,class,days_left,price
563,4,2,2,2,5,5,1,5,5953
564,4,2,2,2,5,5,1,5,5953
565,4,2,1,2,4,5,1,5,5953
566,4,2,1,2,4,5,1,5,5953
567,4,2,1,2,4,5,1,5,5953
568,4,2,1,2,4,5,1,5,5953
569,4,2,2,2,5,5,1,5,5953
570,4,2,2,2,5,5,1,5,5953
571,5,2,5,2,5,5,1,5,5955
572,5,2,4,2,4,5,1,5,5955
573,5,2,1,2,1,5,1,5,5955
574,5,2,0,2,0,5,1,5,5955
575,5,2,0,2,2,5,1,5,5955
576,5,2,0,2,2,5,1,5,5955
577,5,2,2,2,5,5,1,5,5955
578,5,2,5,2,5,5,1,5,5955
579,5,2,1,2,4,5,1,5,5955
580,5,2,4,2,0,5,1,5,5955
581,5,2,2,2,5,5,1,5,5955
582,5,2,4,2,4,5,1,5,5955
583,5,2,4,2,0,5,1,5,5955
584,5,2,2,2,2,5,1,5,5955
585,5,2,2,2,5,5,1,5,5955
586,2,2,1,2,4,5,1,5,5954
587,2,2,0,2,2,5,1,5,5954
588,2,2,0,2,2,5,1,5,5954
589,2,2,2,2,5,5,1,5,5954
590,2,2,4,2,0,5,1,5,5954
591,2,2,2,2,5,5,1,5,5954
592,3,2,1,2,4,5,1,5,5955
593,3,2,1,2,4,5,1,5,5955
594,3,2,4,2,0,5,1,5,5955
595,3,2,2,2,2,5,1,5,5955
596,3,2,2,2,5,5,1,5,5955
597,3,2,4,2,0,5,1,5,5955
598,3,2,0,2,2,5,1,5,5955
599,3,2,5,2,5,5,1,5,5955
600,3,2,4,2,4,5,1,5,5955
601,3,2,4,2,4,5,1,5,5955
602,1,2,2,2,2,5,1,5,5955
603,1,2,1,2,4,5,1,5,5955
604,1,2,1,2,4,5,1,5,5955
605,1,2,2,2,5,5,1,5,5955
606,1,2,4,2,4,5,1,5,5955
607,1,2,2,2,5,5,1,5,5955
608,0,2,5,0,1,5,1,5,5949
609,0,2,2,0,1,5,1,5,5949
610,2,2,4,0,2,5,1,5,5954
611,2,2,0,1,5,5,1,5,5954
612,2,2,4,0,2,5,1,5,5954
613,2,2,1,0,2,5,1,5,5954
614,2,2,2,0,1,5,1,5,5954
615,2,2,1,0,5,5,1,5,5954
616,2,2,2,0,4,5,1,5,5954
617,2,2,1,0,5,5,1,5,5954
618,1,2,2,0,5,5,1,5,5955
619,4,2,2,0,5,5,1,5,5955
620,4,2,2,0,4,5,1,5,5955
621,4,2,4,0,0,5,1,5,5955
622,4,2,0,0,2,5,1,5,5955
623,0,2,1,2,1,5,1,5,6139
624,4,2,2,0,1,5,1,5,6270
625,3,2,1,0,4,5,1,5,6443
626,3,2,0,0,5,5,1,5,6443
627,2,2,5,2,5,5,1,5,6532
628,3,2,4,1,2,5,1,5,6953
629,3,2,4,0,0,5,1,5,7163
630,3,2,2,0,5,5,1,5,7420
631,3,2,0,0,5,5,1,5,7420
632,1,2,4,0,5,5,1,5,7468
633,1,2,1,0,5,5,1,5,7468
634,3,2,0,0,2,5,1,5,8396
